YOUR NAME,initial mass  [Msol],initial metallicity,overshoot scheme,overshoot parameter (f_ov),overshoot f0,,log_Teff [K],log_L [Lsol],Core mass [Msol],Core radius [Rsol],Age [Myr]
,2,0.0140,no overshooting,0.000,0.000,,,,,,
,2,0.0140,exponential,0.01,0.001,,,,,,
,2,0.0140,exponential,0.01,0.005,,,,,,
,2,0.0140,exponential,0.01,0.010,,,,,,
,2,0.0140,exponential,0.03,0.001,,,,,,
,2,0.0140,exponential,0.03,0.005,,,,,,
,2,0.0140,exponential,0.03,0.01,,,,,,
,2,0.0140,exponential,0.10,0.001,,,,,,
,2,0.0140,exponential,0.10,0.005,,,,,,
,2,0.0140,exponential,0.10,0.01,,,,,,
,2,0.0140,step,0.10,0.001,,,,,,
,2,0.0140,step,0.10,0.005,,,,,,
,2,0.0140,step,0.10,0.01,,,,,,
,2,0.0140,step,0.30,0.001,,,,,,
,2,0.0140,step,0.30,0.005,,,,,,
,2,0.0140,step,0.30,0.01,,,,,,
,2,0.0014,no overshooting,0.000,0.000,,,,,,
,2,0.0014,exponential,0.01,0.001,,,,,,
,2,0.0014,exponential,0.01,0.005,,,,,,
,2,0.0014,exponential,0.01,0.010,,,,,,
,2,0.0014,exponential,0.03,0.001,,,,,,
,2,0.0014,exponential,0.03,0.005,,,,,,
,2,0.0014,exponential,0.03,0.01,,,,,,
,2,0.0014,exponential,0.10,0.001,,,,,,
,2,0.0014,exponential,0.10,0.005,,,,,,
,2,0.0014,exponential,0.10,0.01,,,,,,
,2,0.0014,step,0.02,0.001,,,,,,
,2,0.0014,step,0.02,0.001,,,,,,
,2,0.0014,step,0.02,0.005,,,,,,
,2,0.0014,step,0.02,0.01,,,,,,
,2,0.0014,step,0.04,0.001,,,,,,
,2,0.0014,step,0.04,0.005,,,,,,
,2,0.0014,step,0.04,0.01,,,,,,
,5,0.0140,no overshooting,0.000,0.000,,,,,,
,5,0.0140,exponential,0.01,0.001,,,,,,
,5,0.0140,exponential,0.01,0.005,,,,,,
,5,0.0140,exponential,0.01,0.010,,,,,,
,5,0.0140,exponential,0.03,0.001,,,,,,
,5,0.0140,exponential,0.03,0.005,,,,,,
,5,0.0140,exponential,0.03,0.01,,,,,,
,5,0.0140,exponential,0.10,0.001,,,,,,
,5,0.0140,exponential,0.10,0.005,,,,,,
,5,0.0140,exponential,0.10,0.01,,,,,,
,5,0.0140,step,0.10,0.001,,,,,,
,5,0.0140,step,0.10,0.005,,,,,,
,5,0.0140,step,0.10,0.01,,,,,,
,5,0.0140,step,0.30,0.001,,,,,,
,5,0.0140,step,0.30,0.005,,,,,,
,5,0.0140,step,0.30,0.01,,,,,,
,5,0.0014,no overshooting,0.000,0.000,,,,,,
,5,0.0014,exponential,0.01,0.001,,,,,,
,5,0.0014,exponential,0.01,0.005,,,,,,
,5,0.0014,exponential,0.01,0.010,,,,,,
,5,0.0014,exponential,0.03,0.001,,,,,,
,5,0.0014,exponential,0.03,0.005,,,,,,
,5,0.0014,exponential,0.03,0.01,,,,,,
,5,0.0014,exponential,0.10,0.001,,,,,,
,5,0.0014,exponential,0.10,0.005,,,,,,
,5,0.0014,exponential,0.10,0.01,,,,,,
,5,0.0014,step,0.02,0.001,,,,,,
,5,0.0014,step,0.02,0.001,,,,,,
,5,0.0014,step,0.02,0.005,,,,,,
,5,0.0014,step,0.02,0.01,,,,,,
,5,0.0014,step,0.04,0.001,,,,,,
,5,0.0014,step,0.04,0.005,,,,,,
,5,0.0014,step,0.04,0.01,,,,,,
,15,0.0140,no overshooting,0.000,0.000,,,,,,
,15,0.0140,exponential,0.01,0.001,,,,,,
,15,0.0140,exponential,0.01,0.005,,,,,,
,15,0.0140,exponential,0.01,0.010,,,,,,
,15,0.0140,exponential,0.03,0.001,,,,,,
,15,0.0140,exponential,0.03,0.005,,,,,,
,15,0.0140,exponential,0.03,0.01,,,,,,
,15,0.0140,exponential,0.10,0.001,,,,,,
,15,0.0140,exponential,0.10,0.005,,,,,,
,15,0.0140,exponential,0.10,0.01,,,,,,
,15,0.0140,step,0.10,0.001,,,,,,
,15,0.0140,step,0.10,0.005,,,,,,
,15,0.0140,step,0.10,0.01,,,,,,
,15,0.0140,step,0.30,0.001,,,,,,
,15,0.0140,step,0.30,0.005,,,,,,
,15,0.0140,step,0.30,0.01,,,,,,
,15,0.0014,no overshooting,0.000,0.000,,,,,,
,15,0.0014,exponential,0.01,0.001,,,,,,
,15,0.0014,exponential,0.01,0.005,,,,,,
,15,0.0014,exponential,0.01,0.010,,,,,,
,15,0.0014,exponential,0.03,0.001,,,,,,
,15,0.0014,exponential,0.03,0.005,,,,,,
,15,0.0014,exponential,0.03,0.01,,,,,,
,15,0.0014,exponential,0.10,0.001,,,,,,
,15,0.0014,exponential,0.10,0.005,,,,,,
,15,0.0014,exponential,0.10,0.01,,,,,,
,15,0.0014,step,0.02,0.001,,,,,,
,15,0.0014,step,0.02,0.001,,,,,,
,15,0.0014,step,0.02,0.005,,,,,,
,15,0.0014,step,0.02,0.01,,,,,,
,15,0.0014,step,0.04,0.001,,,,,,
,15,0.0014,step,0.04,0.005,,,,,,
,15,0.0014,step,0.04,0.01,,,,,,
,30,0.0140,no overshooting,0.000,0.000,,,,,,
,30,0.0140,exponential,0.01,0.001,,,,,,
,30,0.0140,exponential,0.01,0.005,,,,,,
,30,0.0140,exponential,0.01,0.010,,,,,,
,30,0.0140,exponential,0.03,0.001,,,,,,
,30,0.0140,exponential,0.03,0.005,,,,,,
,30,0.0140,exponential,0.03,0.01,,,,,,
,30,0.0140,exponential,0.10,0.001,,,,,,
,30,0.0140,exponential,0.10,0.005,,,,,,
,30,0.0140,exponential,0.10,0.01,,,,,,
,30,0.0140,step,0.10,0.001,,,,,,
,30,0.0140,step,0.10,0.005,,,,,,
,30,0.0140,step,0.10,0.01,,,,,,
,30,0.0140,step,0.30,0.001,,,,,,
,30,0.0140,step,0.30,0.005,,,,,,
,30,0.0140,step,0.30,0.01,,,,,,
,30,0.0014,no overshooting,0.000,0.000,,,,,,
,30,0.0014,exponential,0.01,0.001,,,,,,
,30,0.0014,exponential,0.01,0.005,,,,,,
,30,0.0014,exponential,0.01,0.010,,,,,,
,30,0.0014,exponential,0.03,0.001,,,,,,
,30,0.0014,exponential,0.03,0.005,,,,,,
,30,0.0014,exponential,0.03,0.01,,,,,,
,30,0.0014,exponential,0.10,0.001,,,,,,
,30,0.0014,exponential,0.10,0.005,,,,,,
,30,0.0014,exponential,0.10,0.01,,,,,,
,30,0.0014,step,0.02,0.001,,,,,,
,30,0.0014,step,0.02,0.001,,,,,,
,30,0.0014,step,0.02,0.005,,,,,,
,30,0.0014,step,0.02,0.01,,,,,,
,30,0.0014,step,0.04,0.001,,,,,,
,30,0.0014,step,0.04,0.005,,,,,,
,30,0.0014,step,0.04,0.01,,,,,,
